citrus_id,label,whole,exocarp,endocarp,rind,spine,mesocarp,oil_glands,num_glands
C01_CRC2317_18B-18-9,L00,275019544,58370453,150746200,81211503,11814268,69397235,391835,8217
C01_CRC2317_18B-18-9,L01,148889891,28406309,86537041,44943507,5992364,38951143,309626,5768
C01_CRC2317_18B-18-9,L02,141881396,28608241,87527253,35790295,2907487,32882808,294692,6005
C01_CRC2317_18B-18-9,L03,107342471,25489589,64476218,25670709,2785839,22884853,300443,5817
C02_CRC3919_18A-24-1,L00,194197677,43113850,113981920,49850355,3644418,46205937,1071689,13185
C02_CRC3919_18A-24-1,L01,154125194,26401120,93246923,46556136,2924908,43631228,1409217,12603
C02_CRC3919_18A-24-1,L02,148820067,30376176,97621471,31539222,1921415,29617807,1314165,12192
C03_CRC3593_18A-8-3,L00,221097244,26002141,144961718,66386257,5456364,60929893,337334,6596
C03_CRC3593_18A-8-3,L01,213522115,29759164,154430997,43538792,3769022,39769418,324382,6317
C03_CRC3593_18A-8-3,L02,152869276,20983999,113605368,29465577,2518260,26947317,265138,5414
C04_CRC3005_18B_37_1,L00,237688808,53597920,151329025,54715711,4483259,50117152,658848,12704
C04_CRC3005_18B_37_1,L01,167358082,38922393,97803648,38264053,1852504,36378523,910717,12417
C04_CRC3005_18B_37_1,L02,164383649,33789124,102367519,35013715,2402901,32578064,605375,10418
C05_CRC3050_18B-29-1,L00,237112077,47729421,138344953,67083364,8576079,58507285,656100,14467
C05_CRC3050_18B-29-1,L01,212232477,43486693,136778935,46323384,5681584,40641800,713308,14330
C05_CRC3050_18B-29-1,L02,174893197,38965364,111454922,36757541,4186238,32571303,792518,13700
C06_CRC1482_18B-27-7,L00,222129067,29127413,167239669,41596804,8689504,32907211,513631,8991
C06_CRC1482_18B-27-7,L01,184878076,27138062,135738117,35651705,6235485,29416220,490145,8887
C06_CRC1482_18B-27-7,L02,149265312,22679398,107533029,30719591,5850462,24869127,485641,7351
C07_CRC0661_18B-13-7,L00,241499230,34391620,157289952,64615517,4415877,60199640,705099,13791
C07_CRC0661_18B-13-7,L01,240253640,38894610,148691610,66979172,5223827,61754658,811950,16000
C07_CRC0661_18B-13-7,L02,219970823,33648275,147803596,52378397,3781418,48596922,661170,11748
C08A_CRC3546_18A-5-3,L00,831073978,115491716,283370554,466388357,9467853,456905844,3207958,8713
C08B_CRC3546_18A-5-3,L00,619897030,65006059,192896448,437224888,7883077,429176451,479616,3726
C08C_CRC3546_18A-5-3,L00,538047215,56672180,165081764,315098284,11493871,303301339,1439105,9286
M01_CRC3226_12B-27-1,L00,240286586,33402253,181614747,42422243,17132967,25287700,735232,10886
M01_CRC3226_12B-27-1,L01,208642825,30762537,152547637,41621829,16897950,24723129,666221,10010
M01_CRC3226_12B-27-1,L02,170921662,26611191,128418281,29943073,12319310,17621410,637990,8956
M02_CRC3812_12B-29-1,L00,230830019,43403061,123116793,78018668,21022553,56752279,705837,10996
M02_CRC3812_12B-29-1,L01,212109200,53745435,115428283,71175836,15774278,55345615,524165,10117
M02_CRC3812_12B-29-1,L02,172951927,37816576,105600026,45584402,12876402,32643355,482407,8747
M03_CRC3851_12B-25-9,L00,256972595,39141635,180176541,54671886,7192494,47479392,570714,10650
M03_CRC3851_12B-25-9,L01,207546970,28255911,150780024,43596235,6544640,37051595,475430,9046
M03_CRC3851_12B-25-9,L02,127639031,18631059,99235575,20542043,2024176,18517867,199124,3642
M04_CRC3752_12B-28-7,L00,142152844,22243784,99170635,30940687,6239810,24566811,650101,8586
M04_CRC3752_12B-28-7,L01,128508485,18749617,89347123,30808133,6586193,24108561,575549,7780
M04_CRC3752_12B-28-7,L02,121881130,20637375,86216388,18735530,4412525,14707647,561569,7435
M05_CRC3958_12A-23-13,L00,220527718,33108281,168458001,34008848,7795446,26213397,641928,9644
M05_CRC3958_12A-23-13,L01,193413024,29291849,144330784,33737581,7309973,26425943,649675,9767
M05_CRC3958_12A-23-13,L02,161297960,15618811,122752923,35265595,5374751,29890802,590663,8887
M06_CRC3844_12B-31-1,L00,238917053,44673147,127405358,81701615,19358306,62120910,1992116,8725
M06_CRC3844_12B-31-1,L01,193324953,38292557,109815809,59139618,15255288,43773925,1031107,10387
M06_CRC3844_12B-31-1,L02,169975832,37505179,95172396,52718754,12182175,40407990,718744,8958
