A,B,C
3.254498390062675,3.3751939231668326,3.0782152635536195
2.5963392617058223,2.6506204575525296,2.559140209315295
2.7412662150757168,2.6456997553134816,2.501367170193556
2.43167760854312,2.407178221646733,2.2860852790157327
2.7315780468132016,2.6925228190060264,3.06657148804106
2.5615337320812217,2.5168482424964504,2.7945614051066525
2.4708362970007807,2.5124969074604957,2.810219925888866
3.3844608943504872,3.4340731818704677,4.724317424339052
3.4723611360466675,3.4473244762762674,4.47619290297812
3.1298919867996173,3.1736903758251103,3.8710155173946386
3.4398525044326287,3.3292982690515243,3.8624190465588932
2.818231457907878,2.8286170898208285,3.859919089445037
2.970524286555092,3.0226800211727562,3.3178386371046007
3.1563966876749956,3.1453765519199206,3.25666761403561
3.0874728331202492,3.053173901476509,3.267161422155792
2.8062568266656074,2.829662369572433,3.2080998278729616
3.352955053366308,3.4660097229031943,2.9291661950897514
3.0739672293785563,3.2994889295260625,2.819700179042825
2.87656138188685,2.926893821864008,2.737579260136473
4.150272789374627,4.01176418306168,3.815286633573785
4.001993879066931,3.9004053003078076,3.9844927582999805
4.010601493157409,3.874396089467177,3.714063095152228
4.024599554708644,4.194971587188734,4.978372170059912
3.763189719041248,3.5899855002237273,4.7124947817321186
3.7357676733166185,3.8194793902022885,5.527978932011063
3.2482214293056972,3.2616627682004613,2.4849668948736197
3.0067091330133358,3.1063348254703307,2.42916370479842
2.859331088752695,2.825295813501883,2.281032916449045
3.7033421891895117,3.696680893519908,3.108724970187167
3.4333704662146074,3.6319115498897006,3.021515068045498
3.3752253384192077,3.4083764031233352,2.7712403871798434
3.3066672855658785,3.3213236010985567,3.369292081223059
3.2669826434962568,3.0070018061599555,3.1015934436931314
2.626025126394969,2.596329570424734,2.671806913999296
2.5211780510124475,2.500691302139434,2.378629721911914
2.475206043043307,2.4393649927755945,2.249184325290286
2.405400954122417,2.3866837011842286,2.2278604541837366
3.0234386916280678,3.051466941348169,2.5291226789576484
2.9076900660994385,2.9602174571878948,2.418908307308943
2.662219722858777,2.7287612354642743,2.3561110803009107
1.9199679401317622,1.8301906751742216,1.465294260909431
1.7503578176423449,1.77304913654782,1.3553256547714603
1.7075846651666708,1.6155439901088,1.335456925035544
2.633827482596081,2.6884095346660053,2.132544031205282
2.650614395573968,2.4922323489269216,2.0504777699420673
2.4516076757074967,2.351375901538035,2.0947178957710064
2.456517073484948,2.4861819119331807,1.9581143404213839
3.6003681865746975,3.651199280072426,3.968154319504323
3.3820213961225445,3.523686403609915,3.6103731766261733
3.440676720512702,3.517816535066104,3.2936863643592598
3.7705512926774256,3.8815779414770653,3.8059424196477876
3.4664730537109403,3.5270570677931383,3.439930545253708
3.3711868378852814,3.4023920978805897,3.440909808069887
2.7139605586964004,2.663599924500942,2.4320554762485385
2.62649890545278,2.656739686686314,2.384449408153168
2.6981210871769954,2.7278239705474068,2.325781109058681
4.07977409310287,4.298617179990711,3.725688276575077
4.481459798544543,4.556315319892331,4.223775224416094
3.730677179487253,3.9347616432491876,3.7169917665467405
4.551034343707664,4.453692895637869,4.334472174980616
4.099864051004072,4.261814495504422,4.063519359679987
3.860384983410658,4.002165666448234,3.6945813061966866
5.022232451025169,4.994223759694733,4.486913716257088
4.629316847198938,4.6962328508958375,4.309687676911094
4.02020314881757,4.008538510470107,3.6831562465630063
5.787552497702183,5.874904645508152,5.445147459166654
5.163802141945418,5.216619360258308,5.06049856267088
5.119780660474475,5.066611795468118,5.03412653640661
6.308540800781776,6.52984071881834,5.871223559808801
6.290637789530974,6.401117074140714,6.112461279757033
5.9360436273034995,6.177470535010598,5.658900972311497
2.612995362695663,2.529119887407454,2.732756699493536
2.185661326617059,2.156420385473975,2.5850411050678055
1.763155380863283,1.803406583819791,2.0171125501898235
3.2499896837182303,3.205670577923087,3.193829576052065
3.073096536606642,3.0857620880537757,2.991329634192397
2.9864188268062395,3.0328982206912283,2.6805870624618446
2.501110339324382,2.5196465543512794,2.249942216246385
2.4579035296740557,2.519331069918611,2.214104802956099
2.3843370588683532,2.3201552709748685,2.0542795721210427
2.0790368851289305,2.1739586635939676,1.9442574561347754
3.0840089276874316,3.1683402769583338,2.8124215534677472
2.6570325516969815,2.6939405714339646,2.5366892801708727
2.5562425749188065,2.554513149817304,2.469077373962506
4.127333857790182,3.9070401644475288,3.958513445118142
3.942834175140537,4.111311790371215,3.871746847569373
3.4200578000006536,3.555780934014458,3.744553401360758
3.650729973408554,3.6561965590611396,4.257311532277468
3.6105194970215666,3.524083654042578,4.267924870080806
3.5793399247348496,3.6195165446915083,4.303187964364053
4.358256745042527,4.40961521792849,4.329354517132494
3.6806508925837846,3.706689836573077,3.7701044079386055
3.5898551921675455,3.7823646092798184,3.686135553922734
3.1379919061638213,3.102080293162352,3.1684520331241317
3.0398156321139203,3.0466607262435637,3.059522806741426
2.9036375589140575,2.918549046143921,2.970671527752341
3.942538218549655,4.02901676045746,3.9100558155971625
3.840832680895679,3.9469849785411495,3.8960846599119288
3.4323654436896045,3.5142950348726787,3.618782177641938
1.3086668417750789,1.2540419619104868,1.9585294999388327
1.2051752091211845,1.233719037378281,1.9798363118110847
1.179633379402399,1.1431024140128005,1.673710666276771
1.2733530456562048,1.514194040498126,1.5818883749513752
1.2612766283332817,1.392827111142813,1.0407238218165602
1.214697366773391,1.2381989872002783,1.0188932584658106
2.3066782672018578,2.278661332286315,2.205306675570524
2.165467401323103,2.1900531321654815,2.1123516270097658
1.9263204425679314,2.0264297377784524,1.9631951867440944
1.4005246084452794,1.362139580409456,1.304989221400733
1.3369374671444882,1.3548333758923399,1.2243819613859426
1.0985953904087362,1.1193502387821053,1.1558029272814483
1.070909700198734,1.0685139674985167,1.0286648197880064
1.0335116845437913,1.0048415709260639,1.0422977535418554
0.9348092624334263,0.9489912327059526,0.9608324693461292
1.6466317360219445,1.6567769620102977,1.4202520781214396
1.5269303829811869,1.6507128535536384,1.3130394927145166
1.5384593658613848,1.5017259332294841,1.2875524801253289
1.327872968196179,1.3551884788042576,1.163108427475403
1.5696394484960956,1.4280343012822925,1.4491552945299402
0.621035923869528,0.6402021110612433,2.2445588983417033
0.6152090462572656,0.6100707796496749,2.1727433101645244
0.5623369201720053,0.5568537093837861,2.1550847007066123
0.5242777365661903,0.5339840401358052,1.6532805080803015
3.4254710236467854,3.1368745997025655,3.45650397942596
3.2028276777519435,3.2256471641527193,2.8328886787375054
2.7558790743729804,2.9072643374494773,2.8412568662308133
2.435329987384039,2.4391521713891087,2.34567752972342
2.4240579625315455,2.391027407242088,2.4917281533408433
2.2925642717498587,2.275426879410121,2.2060782622164847
2.2296297723591665,2.2631942273525856,2.130681969048041
3.0941745279186486,3.149108624829983,2.3257554082084826
2.703106572179116,2.7385980965146373,2.2665852890179274
2.4079826958573656,2.459893720661725,1.7848573871361468
3.430493726560265,3.533435641743594,3.576466836795354
3.418848400425095,3.956847186917996,3.5579439860311473
2.1983109025382053,2.378940967487158,2.4655157863762227
2.1789018509504094,2.3912744660079532,2.356892293485952
2.1492211442145015,2.3489429914571613,2.3085964785979742
3.180969186827527,3.1923507547178587,2.969715986231735
3.0291582306494873,3.0716685133297426,2.9913149853707046
3.0870144390591783,3.0677742562043617,2.9016287615760614
2.7451240964609087,2.835014882281488,2.7096538765531317
2.565434115903471,2.515076113943259,2.6023945896305736
2.322870802269453,2.407211422530419,2.717365600914171
2.281001602575576,2.3942114462826596,2.5501212396831416
2.7987392461113925,2.8360947037802835,3.2272457318589645
2.8700445680117523,2.8379113289828806,3.099627611926698
2.7726873830209957,2.793239710369661,3.0517622795486377
2.7520569954238723,2.8125263831031524,3.0220825824300257
2.440656139533932,2.492781960811437,2.725331051327353
2.260478804094468,2.229262507131295,2.2896086217461966
2.2159626087582063,2.1731779385907126,2.3121536944912435
2.132493779335891,2.1556724759684993,2.08227844053759
2.5297425377910687,2.5563609425166236,2.657605140782676
2.4944756373722035,2.544367568716264,2.632161253791411
2.4959098282178607,2.4830517259569302,2.5862011881878773
2.4678598155512628,2.4507162455919453,2.596206192940197
2.3368202003018035,2.3531925399790463,2.5058159969858913
4.39356800544473,4.532663189911671,4.427962071676798
4.177145047778691,4.235657907555159,4.586766270891365
3.9550394086943044,4.27594343716529,4.526079398241383
