ID,voxel_size_microns
C01_CRC2317_18B-18-9,83.6
C02_CRC3919_18A-24-1,81.2
C03_CRC3593_18A-8-3,104.2
C04_CRC3005_18B_37_1,95.3
C05_CRC3050_18B-29-1,87.4
C06_CRC1482_18B-27-7,88.4
C07_CRC0661_18B-13-7,105.5
C08A_CRC3546_18A-5-3,78.7
C08B_CRC3546_18A-5-3,91.2
C08C_CRC3546_18A-5-3,92.6
M01_CRC3226_12B-27-1,78.6
M02_CRC3812_12B-29-1,94.7
M03_CRC3851_12B-25-9,87.2
M04_CRC3752_12B-28-7,78.5
M05_CRC3958_12A-23-13,78.5
M06_CRC3844_12B-31-1,46.7
M07_CRC3363_12B-23-1,77.1
M08_CRC3991_12A-22-13,97.6
M09_CRC3816_12B-24-11,106.8
M10_CRC3558_12B-23-15,76.2
P01A_CRC3781_12A-31-9,60.3
P01B_CRC3781_12A-31-9,58.8
P01C_CRC3781_12A-31-9,66.1
P02A_CRC4026_12A-19-7,64.7
P02B_CRC4026_12A-19-7,65.1
P02C_CRC4026_12A-19-7,69.4
P03A_CRC3907_12B-41-3,64.7
P03B_CRC3907_12B-41-3,69.6
P03C_CRC3907_12B-41-3,69.4
P04A_CRC3959_12B-48-13,85.2
P04B_CRC3959_12B-48-13,81.8
P04C_CRC3959_12B-48-13,81.1
P05A_CRC2242_12A-35-3,85.2
P05B_CRC2242_12A-35-3,87.5
P05C_CRC2242_12A-35-3,81.1
SR01_CRC3289_12B-19-9,72.4
SR02_CRC0628_12B-18-5,88.8
SR03_CRC3611_12B-20-11,77.3
SR04_CRC2717_12B-40-1,83.6
SW01_CRC3030_12B-8-5,103.8
SW02_CRC3746_12B-17-7,110.1
SW03_CRC1241-B_12B-4-3,110.4
SW04_CRC2802_12B-11-5,86.5
SW05_CRC3994_12A-25-9,97.5
WR01_CRC1491_12D-26-15,18.6
WR02_CRC3877_12B-44-13,46
WR03_CRC3163_12B-30-1,46
WR04_CRC4008_12A-24-5,67.3
WR05_CRC3605_18B-19-5,57.5
WR06_CRC2485_12B-29-9,57.5
WR07_CRC2327_18B-9-5,29.5
WR08_CRC3661_18B-16-5,35
WR09_CRC3469_12B-36-9,84.4
WR10_CRC0838_12A-5-5,84.7
WR11_CR3228_12B-30-9,84.7
WR12_CRC1455_18B-17-6,86
WR13_CRC3912_12B-41-11,79.2
WR14_CRC2320_18B-18-3,95.9
WR15_CRC3140_18B-9-1,77.5
WR16_CRC3771_12A-42-5,87.3
WR17_CRC2454_18B-20-5,88.6
WR18_CRC2863_12A-39-9,102.6
WR19_CRC3842_18B-18-5,107.7
